,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    08.4 - Culte et autres services communautaires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1"
"    08.5 - R-D dans le domaine des loisirs, de la culture et du culte","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.6 - Loisirs, culture et culte n.c.a.","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
09 - Enseignement,"51,9","54,0","54,9","56,4","58,7","60,7","62,9","65,4","66,8","67,2","68,5","69,6","70,2","71,9","74,5","76,7","77,4","78,4","79,8","80,7"
    09.1 - Enseignement préélémentaire et primaire,"15,7","16,3","16,5","17,0","17,8","18,4","19,1","19,7","20,2","20,3","20,7","21,0","21,2","21,7","21,9","22,5","23,0","22,4","23,8","24,1"
    09.2 - Enseignement secondaire,"27,6","28,8","29,1","29,9","31,2","32,2","33,3","34,5","35,2","35,4","36,1","36,7","36,9","37,7","37,8","38,9","39,2","40,4","40,0","40,4"
    09.3 - Enseignement postsecondaire non supérieur,"0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,5","0,6"
    09.4 - Enseignement supérieur,"3,8","4,0","4,2","4,2","4,3","4,5","4,6","4,9","5,1","5,1","5,2","5,4","5,4","5,5","6,9","8,3","8,8","9,0","9,2","9,3"
    09.5 - Enseignement non défini par niveau,"0,8","0,9","0,9","0,9","0,9","1,0","1,0","1,1","1,1","1,1","1,1","1,2","1,2","1,2","1,5","1,4","0,9","0,9","0,9","0,9"
    09.6 - Services annexes à l'enseignement,"2,8","2,9","3,0","3,1","3,3","3,4","3,5","3,7","3,8","3,8","3,9","3,9","4,0","4,2","4,8","4,4","4,5","4,7","4,9","5,0"
    09.7 - R-D dans le domaine de l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.8 - Enseignement n.c.a.,"0,9","0,9","0,9","1,0","1,0","1,0","1,0","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","0,8","0,6","0,5","0,5","0,5"
10 - Protection sociale,"14,1","14,5","14,5","15,0","15,7","16,4","16,9","17,8","19,0","19,6","20,5","22,2","23,1","23,9","24,9","25,7","26,5","26,9","27,3","28,1"
    10.1 - Maladie et invalidité,"3,2","3,2","3,3","3,3","3,4","3,4","3,5","3,6","3,8","4,0","4,1","4,1","4,1","4,1","4,2","4,2","4,2","4,2","4,3","4,4"
    10.2 - Vieillesse,"5,6","5,6","5,7","5,8","5,9","6,1","6,2","6,2","6,6","6,8","7,2","7,4","7,6","7,9","8,0","8,1","8,3","8,4","8,5","8,7"
    10.3 - Survivants,"0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0"
    10.4 - Famille et enfants,"2,5","2,6","2,5","2,7","2,9","3,3","3,4","3,8","4,0","4,2","4,2","4,9","5,3","5,7","5,9","6,3","6,6","6,8","6,9","7,2"
    10.5 - Chômage,"1,0","1,0","1,0","1,0","1,0","1,1","1,2","1,2","1,3","1,4","1,4","1,7","1,9","1,7","2,2","2,6","2,7","2,8","2,8","2,9"
    10.6 - Logement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.7 - Exclusion sociale n.c.a.,"0,7","0,8","0,8","0,8","0,9","1,0","1,0","1,2","1,3","1,4","1,5","1,8","2,0","2,2","2,3","2,3","2,4","2,4","2,5","2,6"
    10.8 - R-D dans le domaine de la protection sociale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.9 - Protection sociale n.c.a.,"1,2","1,2","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9","2,0","2,1","2,2","2,2","2,3","2,1","2,2","2,3","2,2","2,2"
 ,,,,,,,,,,,,,,,,,,,,
Consommations intermédiaires (P2),"62,7","67,1","69,8","65,3","66,7","71,1","70,8","76,6","77,6","82,8","86,7","89,1","90,9","93,1","99,1","102,5","104,2","107,3","109,9","110,1"
01 - Services généraux des administrations publiques,"9,5","9,5","10,8","11,2","11,9","12,5","12,0","11,9","10,9","11,8","12,3","12,4","12,6","12,5","13,9","15,1","14,5","14,9","15,9","16,0"
"    01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères","3,4","3,3","3,4","3,4","3,4","3,1","3,1","3,0","2,5","2,8","2,6","2,6","2,7","2,5","2,8","3,2","2,7","2,7","3,0","2,9"
    01.2 - Aide économique extérieure,"0,1","0,0","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.3 - Services généraux,"4,4","4,6","5,7","5,9","6,6","7,4","6,9","6,8","6,4","7,1","7,6","7,7","7,8","7,7","8,6","8,3","8,3","8,6","8,9","9,0"
    01.4 - Recherche fondamentale,"0,6","0,5","0,5","0,5","0,5","0,5","0,5","0,7","0,5","0,5","0,6","0,6","0,6","0,7","0,7","0,8","0,7","0,7","0,7","0,7"
    01.5 - R & D concernant les services généraux des administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.6 - Services généraux des administrations publiques n.c.a.,"0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,2","0,2"
    01.7 - Opérations concernant la dette publique,"0,9","0,9","0,9","1,2","1,2","1,2","1,2","1,3","1,2","1,2","1,2","1,3","1,2","1,5","1,5","2,6","2,4","2,5","3,0","3,1"
    01.8 - Transferts de caractère général entre administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
02 - Défense,"9,1","10,6","11,9","6,9","6,9","7,2","7,6","7,6","7,2","7,8","9,7","9,8","10,2","10,4","10,6","10,2","10,4","10,1","10,5","10,1"
    02.1 - Défense militaire,"7,7","9,0","10,2","5,8","5,8","6,1","6,4","6,4","6,0","6,5","8,4","8,5","8,8","9,1","9,2","8,6","8,8","8,5","9,4","9,1"
    02.2 - Défense civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0"
    02.3 - Aide militaire à des pays étrangers,"0,2","0,2","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,5","0,5"
    02.4 - R-D concernant la défense,"0,8","0,9","1,0","0,7","0,7","0,7","0,7","0,7","0,7","0,8","0,7","0,7","0,8","0,8","0,9","0,8","0,8","0,7","0,2","0,2"
    02.5 - Défense n.c.a.,"0,3","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,5","0,4","0,4"
03 - Ordre et sécurité publics,"3,2","3,3","3,4","3,2","3,2","3,0","3,2","3,8","3,9","4,6","4,3","4,4","4,4","4,6","4,9","5,1","5,3","5,4","5,3","5,1"
    03.1 - Services de police,"1,4","1,4","1,5","1,3","1,3","1,2","1,3","1,5","1,6","1,8","1,7","1,8","1,8","1,8","2,0","2,0","2,0","2,1","2,0","1,9"
    03.2 - Services de protection civile,"0,3","0,3","0,4","0,5","0,4","0,5","0,5","0,7","0,7","0,8","0,8","0,8","0,8","0,8","0,8","0,9","1,0","1,0","1,0","1,0"
    03.3 - Tribunaux,"1,0","1,0","1,0","0,9","0,9","0,8","0,9","1,0","1,1","1,3","1,2","1,2","1,2","1,2","1,3","1,3","1,4","1,3","1,3","1,2"
    03.4 - Administration pénitentiaire,"0,4","0,4","0,5","0,4","0,4","0,4","0,4","0,5","0,5","0,6","0,5","0,5","0,5","0,6","0,6","0,7","0,7","0,8","0,8","0,8"
    03.5 - R-D concernant l'ordre et la sécurité publics,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.6 - Ordre et sécurité publics n.c.a.,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2"
04 - Affaires économiques,"9,5","11,4","10,4","10,5","10,3","10,7","10,4","10,9","11,1","11,1","11,5","12,0","12,2","12,8","13,9","14,3","14,4","15,5","15,6","15,7"
"    04.1 - Tutelle de l'économie générale, des échanges et de l'emploi","0,8","0,9","0,8","0,8","0,7","0,7","0,8","0,8","0,8","0,8","0,7","0,8","0,8","0,9","0,9","1,0","1,1","2,4","2,3","2,3"
"    04.2 - Agriculture, sylviculture, pêche et chasse","1,3","1,6","1,5","1,5","1,4","1,5","1,4","1,4","1,5","1,5","1,6","1,7","1,8","1,8","2,0","2,1","2,0","0,7","0,8","0,8"
    04.3 - Combustibles et énergie,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,6","0,6","0,6"
"    04.4 - Industries extractives et manufacturières, construction","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1"
    04.5 - Transports,"3,3","4,4","3,9","3,9","3,6","3,9","3,5","3,6","3,8","3,9","4,1","4,4","4,5","4,7","5,0","5,2","5,6","5,9","6,1","6,1"
    04.6 - Communications,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6","0,5","0,4"
    04.7 - Autres branches d'activité,"0,7","1,0","0,9","0,9","0,9","1,0","0,8","0,9","0,9","0,9","1,0","1,1","1,1","1,1","1,2","1,3","0,8","0,8","0,8","0,9"
    04.8 - R-D concernant les affaires économiques,"2,7","2,7","2,6","2,7","2,9","2,8","3,3","3,4","3,3","3,2","3,2","3,1","3,2","3,4","3,8","3,9","4,0","4,0","4,0","4,0"
    04.9 - Affaires économiques n.c.a.,"0,4","0,4","0,3","0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,3","0,4","0,4","0,4","0,4","0,4","0,5","0,4","0,4","0,4"
05 - Protection de l'environnement,"3,1","3,3","3,6","3,9","3,8","4,6","4,5","5,3","6,1","6,4","6,4","6,9","6,9","7,1","7,4","7,8","8,0","8,4","8,5","8,7"
    05.1 - Gestion des déchets,"2,0","2,2","2,4","2,7","2,6","3,0","2,9","3,7","4,2","4,6","4,7","5,0","5,1","5,2","5,5","5,8","6,1","6,4","6,5","6,6"
    05.2 - Gestion des eaux usées,"0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,7","0,8","0,8","0,9","0,9","0,9","0,9","1,0","1,0","1,1","1,1","1,2","1,2"
    05.3 - Lutte contre la pollution,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    05.4 - Préservation de la diversité biologique et protection de la nature,"0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4"
    05.5 - R-D dans le domaine de la protection de l'environnement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.6 - Protection de l'environnement n.c.a.,"0,5","0,4","0,5","0,4","0,5","0,7","0,7","0,5","0,7","0,6","0,4","0,5","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3"
06 - Logements et équipements collectifs,"2,4","2,7","2,8","2,8","3,2","3,9","3,5","4,0","4,1","4,2","4,1","4,3","4,3","4,5","4,6","4,7","4,9","4,9","5,0","5,1"
    06.1 - Logements,"0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,5","0,4","0,5","0,5"
    06.2 - Équipements collectifs,"1,7","1,8","1,9","2,0","2,2","2,7","2,3","2,6","2,6","2,6","2,5","2,7","2,7","2,8","2,9","2,9","3,0","2,9","3,0","3,0"
    06.3 - Alimentation en eau,"0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,5","0,5","0,5","0,5","0,6","0,6","0,6","0,6","0,6","0,7","0,7","0,7","0,8"
    06.4 - Éclairage public,"0,3","0,3","0,4","0,3","0,4","0,5","0,5","0,5","0,6","0,6","0,6","0,6","0,6","0,7","0,7","0,7","0,8","0,8","0,8","0,8"
    06.5 - R-D dans le domaine du logement et des équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.6 - Logement et équipements collectifs n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
07 - Santé,"8,2","8,6","8,6","8,7","9,0","9,2","9,7","11,0","11,5","12,4","13,3","13,6","14,3","14,4","16,1","16,8","17,6","18,0","18,7","18,9"
"    07.1 - Produits, appareils et matériels médicaux","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.2 - Services ambulatoires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.3 - Services hospitaliers,"7,9","8,3","8,3","8,4","8,7","8,8","9,3","10,0","10,6","11,4","12,0","12,5","13,2","13,4","14,9","15,6","16,3","16,9","17,6","17,8"
    07.4 - Services de santé publique,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,8","0,6","0,7","0,9","0,7","0,7","0,5","0,8","0,7","0,8","0,6","0,6","0,6"
    07.5 - R-D dans le domaine de la santé,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
    07.6 - Santé n.c.a.,"0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2"
"08 - Loisirs, culture et culte","2,1","2,2","2,7","2,9","2,9","3,3","3,5","4,0","4,3","4,4","4,6","4,9","4,9","5,0","5,3","5,6","5,8","5,9","6,2","6,2"
    08.1 - Services récréatifs et sportifs,"0,9","0,9","1,2","1,3","1,3","1,5","1,6","1,8","1,9","2,0","2,1","2,2","2,2","2,3","2,4","2,5","2,6","2,6","2,7","2,8"
    08.2 - Services culturels,"1,1","1,2","1,4","1,5","1,5","1,7","1,8","2,1","2,2","2,3","2,4","2,5","2,5","2,6","2,8","2,9","3,0","3,1","3,2","3,3"
"    08.3 - Services de radiodiffusion, de télévision et d'édition","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    08.4 - Culte et autres services communautaires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1"
"    08.5 - R-D dans le domaine des loisirs, de la culture et du culte","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.6 - Loisirs, culture et culte n.c.a.","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
09 - Enseignement,"7,0","6,7","7,3","7,0","7,3","7,9","7,6","8,9","9,2","9,4","9,8","10,2","10,2","10,5","11,3","11,8","11,9","12,2","12,4","12,5"
    09.1 - Enseignement préélémentaire et primaire,"1,1","1,0","1,1","1,1","1,1","1,2","1,2","1,4","1,4","1,5","1,5","1,6","1,6","1,6","1,7","1,8","1,8","1,6","1,9","2,0"
    09.2 - Enseignement secondaire,"2,5","2,3","2,6","2,5","2,6","2,8","2,7","3,2","3,3","3,4","3,5","3,8","3,8","3,9","4,1","4,1","4,3","4,6","4,4","4,4"
    09.3 - Enseignement postsecondaire non supérieur,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    09.4 - Enseignement supérieur,"1,2","1,3","1,4","1,4","1,4","1,6","1,6","1,7","1,8","1,8","1,9","1,9","1,9","2,1","2,3","2,4","2,4","2,4","2,4","2,4"
    09.5 - Enseignement non défini par niveau,"0,6","0,5","0,6","0,6","0,6","0,7","0,7","0,8","0,8","0,8","0,8","0,9","0,9","0,9","1,0","1,2","1,0","1,1","1,2","1,2"
    09.6 - Services annexes à l'enseignement,"1,5","1,4","1,5","1,4","1,4","1,5","1,4","1,7","1,7","1,7","1,8","1,8","1,8","1,8","1,9","2,1","2,1","2,2","2,3","2,3"
    09.7 - R-D dans le domaine de l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.8 - Enseignement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
10 - Protection sociale,"8,7","8,9","8,3","8,1","8,3","8,9","8,8","9,2","9,4","10,7","10,9","10,7","10,9","11,3","11,0","11,2","11,4","12,0","11,8","11,9"
    10.1 - Maladie et invalidité,"2,0","1,8","1,7","1,7","1,9","1,9","1,7","1,7","1,5","1,6","1,7","1,3","1,4","1,5","1,4","1,4","1,4","1,6","1,5","1,5"
    10.2 - Vieillesse,"3,6","3,8","3,3","3,4","3,3","3,3","3,4","3,5","3,8","4,4","4,7","4,9","5,0","5,1","5,3","5,6","5,6","6,0","5,9","6,0"
    10.3 - Survivants,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.4 - Famille et enfants,"1,4","1,6","1,5","1,5","1,4","1,9","1,8","2,0","2,0","2,4","2,3","1,8","1,8","1,9","1,5","1,6","1,6","1,6","1,6","1,7"
    10.5 - Chômage,"0,7","0,6","0,6","0,6","0,6","0,6","0,6","0,7","0,7","0,8","0,9","1,0","0,9","0,9","1,2","1,2","1,1","1,1","1,1","1,1"
    10.6 - Logement,"0,3","0,3","0,4","0,2","0,2","0,3","0,4","0,4","0,3","0,4","0,4","0,3","0,4","0,4","0,2","0,2","0,3","0,3","0,3","0,3"
    10.7 - Exclusion sociale n.c.a.,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,5","0,5","0,4","0,4","0,5","0,5","0,5","0,5"
    10.8 - R-D dans le domaine de la protection sociale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.9 - Protection sociale n.c.a.,"0,5","0,5","0,5","0,6","0,6","0,6","0,6","0,7","0,7","0,8","0,8","0,9","0,9","0,9","0,9","0,9","0,9","0,9","1,0","1,0"
 ,,,,,,,,,,,,,,,,,,,,
Impôts sur la production (D29) et le revenu (D51),"5,6","5,8","5,8","5,8","5,9","6,1","6,5","6,5","7,0","7,3","7,1","7,8","8,4","8,7","9,0","9,2","9,5","9,7","10,1","10,5"
01 - Services généraux des administrations publiques,"0,8","0,9","0,9","0,8","0,9","0,9","1,0","0,7","0,9","1,0","0,8","0,9","0,9","0,9","1,0","1,0","1,0","1,0","1,0","1,1"
"    01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    01.2 - Aide économique extérieure,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.3 - Services généraux,"0,3","0,4","0,4","0,3","0,5","0,4","0,5","0,3","0,4","0,5","0,5","0,5","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,7"
    01.4 - Recherche fondamentale,"0,4","0,4","0,4","0,4","0,3","0,3","0,4","0,3","0,3","0,4","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    01.5 - R & D concernant les services généraux des administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.6 - Services généraux des administrations publiques n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.7 - Opérations concernant la dette publique,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.8 - Transferts de caractère général entre administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
02 - Défense,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    02.1 - Défense militaire,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    02.2 - Défense civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.3 - Aide militaire à des pays étrangers,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.4 - R-D concernant la défense,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.5 - Défense n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
03 - Ordre et sécurité publics,"0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    03.1 - Services de police,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    03.2 - Services de protection civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.3 - Tribunaux,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.4 - Administration pénitentiaire,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.5 - R-D concernant l'ordre et la sécurité publics,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.6 - Ordre et sécurité publics n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
04 - Affaires économiques,"0,5","0,6","0,6","0,4","0,4","0,5","0,5","0,7","0,8","0,7","0,5","0,6","0,6","0,6","0,7","0,8","0,9","0,9","0,9","1,0"
"    04.1 - Tutelle de l'économie générale, des échanges et de l'emploi","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,2","0,3","0,3"
"    04.2 - Agriculture, sylviculture, pêche et chasse","0,1","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,3","0,3","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,1","0,1","0,1"
    04.3 - Combustibles et énergie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    04.4 - Industries extractives et manufacturières, construction","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.5 - Transports,"0,0","0,1","0,1","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2"
    04.6 - Communications,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.7 - Autres branches d'activité,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    04.8 - R-D concernant les affaires économiques,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2"
    04.9 - Affaires économiques n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
05 - Protection de l'environnement,"0,1","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,3","0,3","0,3","0,4","0,4","0,4"
    05.1 - Gestion des déchets,"0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2"
    05.2 - Gestion des eaux usées,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    05.3 - Lutte contre la pollution,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
